Algorithm,P_r,U0,U1,U2,U3,V0,V1,V2,V3,W0,W1,W2,W3
Alpha,1,0,1,0,-1,0,0,1,-1,0,0,-1,0
Alpha,2,0,-1,0,0,-1,0,1,0,-1,0,-1,0
Alpha,3,0,1,1,0,1,0,0,-1,0,-1,1,0
Alpha,4,1,1,0,0,1,0,0,0,1,1,0,0
Alpha,5,0,0,1,1,0,0,0,1,0,0,1,1
Alpha,6,0,0,1,0,0,1,0,-1,0,1,0,1
Alpha,7,1,0,-1,0,-1,1,0,0,0,1,0,0
Strassen,1,1,0,0,1,1,0,0,1,1,0,0,1
Strassen,2,0,0,1,1,1,0,0,0,0,0,1,-1
Strassen,3,1,0,0,0,0,1,0,-1,0,1,0,1
Strassen,4,0,0,0,1,-1,0,1,0,1,0,1,0
Strassen,5,1,1,0,0,0,0,0,1,-1,1,0,0
Strassen,6,-1,0,1,0,1,1,0,0,0,0,0,1
Strassen,7,0,1,0,-1,0,0,1,1,1,0,0,0
